c,y,delta,n,x,risk,x_acc,n_acc
0,2194,13,895153,115151,3265.614603,115151,895153
1,6813,28,1299934,115136,3595.011519,230287,2195087
2,12037,80,1567355,115084,3230.361738,345371,3762442
3,7101,27,1829731,115137,3319.0477,460508,5592173
4,1210,0,2014288,115152,3163.194123,575660,7606461
5,636,0,2180128,115140,3006.568191,690800,9786589
6,868,0,2321447,115116,2808.448891,805916,12108036
7,2465,0,2427799,115104,2534.02593,921020,14535835
8,1489,0,2521416,115080,2247.095399,1036100,17057251
9,7163,81,2605723,115083,2104.210865,1151183,19662974
10,2351,0,2681548,115044,2023.389813,1266227,22344522
11,2289,0,2738266,115140,1953.860029,1381367,25082788
12,641,0,2778663,115164,1890.093017,1496531,27861451
13,709,0,2790904,115128,1811.6396,1611659,30652355
14,1016,0,2801012,115080,1758.251695,1726739,33453367
15,1088,0,2809447,115092,1717.58349,1841831,36262814
16,1080,0,2815978,115140,1686.363743,1956971,39078792
17,1180,0,2814402,115128,1655.98937,2072099,41893194
18,1091,0,2810175,115104,1627.255979,2187203,44703369
19,769,0,2804507,115164,1603.868186,2302367,47507876
20,1740,0,2797912,114828,1590.32041,2417195,50305788
21,1041,0,2788294,115092,1579.228487,2532287,53094082
22,1222,0,2770911,115164,1565.501891,2647451,55864993
23,1459,0,2750370,115092,1551.070422,2762543,58615363
24,728,0,2722684,115104,1532.581098,2877647,61338047
25,601,0,2692795,115116,1512.971275,2992763,64030842
26,966,0,2661825,115140,1492.388825,3107903,66692667
27,1234,0,2629325,115164,1471.307776,3223067,69321992
28,1140,0,2592281,115140,1446.93467,3338207,71914273
29,682,0,2552539,115080,1421.46719,3453287,74466812
30,535,0,2512190,115164,1395.782543,3568451,76979002
31,1096,0,2460730,115092,1363.366962,3683543,79439732
32,967,0,2408590,115140,1332.914204,3798683,81848322
33,1058,0,2353629,115164,1301.735366,3913847,84201951
34,1987,0,2298601,115128,1270.067883,4028975,86500552
35,693,0,2243448,115152,1239.197114,4144127,88744000
36,1819,0,2187832,115164,1207.38441,4259291,90931832
37,632,0,2128877,115164,1174.01663,4374455,93060709
38,1650,0,2066552,115104,1138.185763,4489559,95127261
39,716,0,2002034,115128,1101.523725,4604687,97129295
40,1554,0,1936830,115164,1064.650967,4719851,99066125
41,945,0,1870226,115164,1026.676344,4835015,100936351
42,1579,0,1802154,115164,988.0816873,4950179,102738505
43,1047,0,1731357,115164,948.2931948,5065343,104469862
44,1100,0,1653348,115164,903.7647894,5180507,106123210
45,1461,0,1574365,115140,859.7470936,5295647,107697575
46,1713,0,1494652,115164,814.3545477,5410811,109192227
47,1672,0,1408144,115164,765.7389473,5525975,110600371
48,5096,59,1317687,115105,715.0730018,5641080,111918058
49,1048,0,1223767,114804,662.7986668,5755884,113141825
50,1689,0,1122721,115164,606.4529735,5871048,114264546
51,2204,41,1020575,115123,549.9510816,5986171,115285121
52,1789,12,916480,115152,492.7932244,6101323,116201601
53,2747,0,812057,115164,436.0292909,6216487,117013658
54,2389,33,707158,115131,379.8145276,6331618,117720816
55,1562,0,601944,115128,324.6403604,6446746,118322760
56,515,199,495130,87401,285.3725463,6534147,118817890
57,1311,235,414396,52001,262.4295223,6586148,119232286
58,2232,250,367917,47954,236.358046,6634102,119600203
59,1353,200,324743,42424,212.8682521,6676526,119924946
60,11,0,282319,36300,189.9369943,6712826,120207265
61,252,74,246019,32686,168.874409,6745512,120453284
62,454,8,213333,29512,149.5012132,6775024,120666617
63,81,0,183821,27024,131.49471,6802048,120850438
64,696,50,156797,24622,115.1047016,6826670,121007235
65,47,37,132175,22751,99.97280603,6849421,121139410
66,69,11,109424,19441,87.14262568,6868862,121248834
67,70,6,89983,16878,75.56839285,6885740,121338817
68,47,21,73105,13023,66.17130826,6898763,121411922
69,54,24,60082,11628,56.65759858,6910391,121472004
70,37,10.00000001,48454,9518,48.69841389,6919909,121520458
71,19,9,38936,8571,41.49651133,6928480,121559394
72,37,4,30365,7580,36.78122856,6936060,121589759
73,23,11,22785,5017,36.05028764,6941077,121612544
74,11,11,17768,2965,36.75965184,6944042,121630312
75,15,2,14803,1318,37.06284623,6945360,121645115
76,6,9,13485,1071,34.63784454,6946431,121658600
77,6,6,12414,1062,31.7125309,6947493,121671014
78,6,6,11352,1062,28.77044312,6948555,121682366
79,6,6,10290,1062,25.83090211,6949617,121692656
80,6,6,9228,1062,22.89478718,6950679,121701884
81,6,6,8166,1062,19.96343502,6951741,121710050
82,6,6,7104,1062,17.03898162,6952803,121717154
83,6,6,6042,1062,14.12506478,6953865,121723196
84,6,6,4980,1062,11.22842535,6954927,121728176
85,6,6,3918,1062,8.363112802,6955989,121732094
86,6,6,2856,1062,5.564073715,6957051,121734950
87,6,7,1794,905,3.14894208,6957956,121736744
88,6,0,889,708,0.717775474,6958664,121737633